Judul,Berita,Topik
PO Tividi Rilis Bus Pariwisata Mewah Pakai Sasis Tronton,"JAKARTA, KOMPAS.com - Perusahaan otobus (PO) Tividi kembali meluncurkan bus baru untuk memperkuat divisi pariwisata.
Beda dengan unit yang beberapa waktu lalu diluncurkan, kali ini bus tampil lebih mewah lantaran ditopang oleh sasis premium Volvo B11R 450 HP Euro 5. Bodi bus masih menggunakan bodi Jetbus 5 SHD double glass buatan Karoseri Adiputro.
Sama seperti tiga unit bus yang belum lama ini diluncurkan sebelumnya, bus tampil dengan desain anyar yang didominasi oleh warna oranye sekujur bodi. Kemudian bodi samping dan belakang bus dipercantik livery eksentrik kuning stabilo dan abu-abu.
Visual bodi Jetbus 5 SHD double glass sendiri punya tampilan lebih modern dengan ukuran bando lebih tipis dari Jetbus generasi sebelumnya.
Secara dimensi, bodi bus Jetbus 5 SHD ini punya panjang 12.000 mm, lebar 2.500 mm dan tinggi 3.850 mm. Salah satu keunggulan dari bodi bus ini, adalah kapasitas bagasi yang luas. 
Instagram @adiputro_official Bus baru PO Tividi
A post shared by Adiputro Wirasejati (@adiputro_official)
 
Masuk ke dalam kabin, interior bus hadir dengan desain mewah dan elegan lewat permainan nuansa gelap dan krem. Kisi-kisi AC bus juga dibuat dengan model memanjang menyerupai mobil penumpang.
Bagian dasbor tampil mencolok menggunakan warna kuning stabilo dan krem. Bagian head unit juga telah tehubung dengan sistem android. 
Adapun kursi penumpang menggunakan model legrest dengan konfigurasi 2-2. Agar penumpang lebih nyaman, bus juga dilengkapi dengan toilet, AC dan juga bagasi kabin dengan penutup.














",OTOMOTIF
"Pemilu Serentak Sangat Melelahkan, Jangan sampai Petugas Jadi Korban Lagi!","Sebanyak 894 petugas Kelompok Penyelenggara Pemungutan Suara (KPPS) meninggal dunia dan 5.175 petugas sakit saat penyelenggaraan Pemilu 2019.
Hal tersebut diungkapkan eks Ketua Komisi Pemilihan Umum (KPU) RI Arief Budiman dalam acara ""Refleksi Hasil Penyelenggaraan Pemilu Serentak 2019 dan Persiapan Penyelenggaraan Pemilihan Serentak 2020"" di Kantor KPU, Menteng, Jakarta Pusat, 22 Januari 2020.
Menurut dia, beban kerja pada Pemilu 2019 cukup besar, sehingga banyak petugas yang sakit atau meninggal dunia.
Kompas.com kemudian mewawancarai salah satu petugas KPPS di Kebagusan, Pasar Minggu, Jakarta Selatan, bernama Winda Fitri (37).
Tujuannya untuk mengingatkan pemerintah betapa melelahkannya pemilu serentak.
Pemerintah harus berkaca pada penyelenggaraan pemilu lima tahun lalu agar kasus serupa tidak terulang pada Pemilu 2024.
Winda, warga RT 003 RW 04 Kelurahan Kebagusan, sudah dua kali menjadi petugas KPPS, yakni pada Pemilu 2014 dan 2019.
Saat itu Winda diajak oleh ketua RT setempat. Alasannya, untuk mengisi waktu kosong sebagai ibu rumah tangga (IRT) dan punya tambahan pemasukan karena dibayar Rp 800.000.
Dibandingkan Pemilu 2014, menurut Winda, Pemilu 2019 sangat melelahkan karena banyaknya surat suara yang digunakan.
Pada Pemilu 2019, terdapat lima surat suara, yakni untuk pemilihan presiden dan wakil presiden, anggota Dewan Perwakilan Daerah (DPD), Dewan Perwakilan Rakyat (DPR) RI, Dewan Perwakilan Rakyat Daerah (DPRD) Provinsi, dan DPRD kabupaten/kota (untuk daerah selain Jakarta).
“Waktu Pemilu 2019 itu agak capek dan melelahkan, soalnya kan pemilu serentak, kayak (pemilihan) presiden, DPR, DPRD. Itu kami (petugas KPPS) lelah banget,” ucap Winda saat ditemui Kompas.com di kediamannya, Senin (4/12/2023).
Pada hari pelaksanaan pemilu serentak, yakni 17 April 2019, Winda bekerja sejak pagi sampai pagi lagi.
Saat itu, ia harus tiba di tempat pemungutan suara (TPS) pukul 06.00 WIB. Pencoblosan pun berlangsung normal hingga pukul 13.00 WIB.
Namun, penghitungan suara ternyata cukup lama, berbeda jauh dengan Pemilu 2014 yang selesai pukul 15.00 WIB.














",NEWS
"2 Pengendara Motor Ribut di Depan ITC Kuningan, Rumput sampai Rusak","Menurut saksi berinisial N, kedua pengendara itu sudah cekcok di jalanan, saat masing-masing berkendara motor.
Mereka kemudian berhenti di depan ITC Kuningan karena percekcokan disinyalir memanas.
“Dari jauh infonya sudah cekcok. Mungkin karena sudah tersulut emosi, makanya berhenti di sini (depan ITC Kuningan) dan situasi jadi panas,” tutur N di lokasi.
Akibat keributan itu, beberapa bagian rumput di pinggir trotoar rusak.
Kerusakan rumput kira-kira selebar satu meter dan terlihat jelas bila dilihat dari sisi pusat perbelanjaan.
Sementara itu, polisi masih menyelidiki penyebab keributan tersebut.
“Anggota sedang cek. Mohon ditunggu konfirmasi lebih lanjut,” ujar Kapolsek Metro Setiabudi Kompol Arif Purnama Oktora saat dikonfirmasi.
Adapun video ribut-ribut antara pengendara motor itu viral di media sosial. Videonya dibagikan di akun Instagram @jakarta.terkini.
Dalam video itu, dua pengendara motor terlihat adu mulut di trotoar depan ITC Kuningan.
Pihak keamanan setempat lantas berusaha memisahkan kedua pihak karena mengganggu pejalan kaki.














",NEWS
"Teganya Suami Bakar Istri Hidup-hidup karena Cemburu Buta Usai Lihat ""Chat"" dari Pria Lain","JAKARTA, KOMPAS.com - Rasa cemburu buta Jali Kartono tak terbendung usai melihat istrinya, Anie Melan, berbalas pesan dengan pria lain.
Kecemburuan itu membuat Jali gelap mata. Tanpa pikir panjang, Jali nekat mengambil jeriken berisi bensin yang berada di warung miliknya.
"" Pelaku lantas mengeluarkan korek api untuk menyulut api,” tutur Kasat Reskrim Polres Metro Jakarta Selatan AKBP Bintoro, Senin (4/12/2023).
Jali nekat membakar istrinya karena sangat cemburu. Ia marah melihat istri yang ia sayangi dan cintai secara tulus bisa berhubungan dengan pria yang diduga orang ketiga.
""Pelaku sendiri sehari-harinya berjualan bensin eceran. Makanya Makanya, dia enggak kesulitan untuk mendapatkan barang itu,” ungkap Bintoro.
Peristiwa itu terjadi di kediaman pribadi mereka, di Jalan Haryono IV, Kebayoran Lama, Jakarta Selatan, pada Rabu (29/11/2023).
Api yang disulut Jali membakar hampir ke sekujur tubuh Anie. Dengan keadaan tubuh yang berselimut api, Anie lantas berlari keluar rumah untuk meminta pertolongan.
Kemudian ada salah seorang tetangga korban yang coba membantu. Tetangga itu mencoba meredam api dengan menyelimuti Anie menggunakan sarung basah.
""Setelah api berhasil dipadamkan, korban lalu dibawa ke Rumah Sakit Cipto Mangunkusumo (RSCM) untuk mendapatkan perawatan,” imbuh Bintoro.
Akibat perbuatan suaminya, Anie Melan menderita luka bakar di sekujur tubuh. Korban dinyatakan menderita luka bakar sebesar 70 persen.
Luka bakar yang berada di tubuh korban menyebar di beberapa titik. Namun, luka bakar yang paling banyak diderita berada di area tubuh bagian atas.
""Sekujur tubuhnya mengalami luka bakar, terutama di bagian wajah dan tubuh,” tutur dia.
Situasi mendadak kacau dan tak terkendali. Jali Kartono pun melarikan diri. Ia takut jadi sasaran amuk massa yang ada di sekitar rumahnya.
Jali ternyata bersembunyi ke rumah tetangga usai membakar istrinya. Pelaku disebut sembunyi selama dua hari sebelum akhirnya ditangkap polisi.
""Jadi pelaku tidak kabur ke luar kota. Masih dekat rumahnya, di wilayah yang sama. Kami tangkap dua hari setelah kejadian, tepatnya tanggal 1 Desember 2023"" ungkap Bintoro.
Lebih lanjut, Bintoro mengaku polisi masih terus mendalami kasus ini. Pasalnya, sampai saat ini Anie belum bisa dimintai keterangan karena luka bakar yang cukup parah.
Akibat peristiwa ini, Jali langsung ditangkap dan ditetapkan sebagai tersangka kasus kekerasan dalam rumah tangga (KDRT).
Ia dijerat Pasal 44 Ayat 1 dan 2 Undang-Undang Nomor 23 Tahun 2004 dengan ancaman penjara maksimal selama 10 tahun.
(Tim Redaksi : Dzaky Nurcahyo, Akhdi Martin Pratama, Irfan Maullana, Ambaranie Nadia Kemala Movanita, Jessi Carina)














",NEWS
Lokasi BPJS Keliling di Bekasi Bulan Desember 2023,"KOMPAS.com - Layanan Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan kini bisa diakses langsung pada beberapa titik tertentu di Bekasi. Program ini bernama Mobile Custumer Service atau yang dikenal dengan BPJS Keliling.
Adapun BPJS keliling ini bisa melayani permasalahan seperti peralihan data peserta, perubahan data peserta, rencana pembayaran bertahap hingga pendaftaran peserta baru.
Melalui keterangan dari sosial media Pemerintah Kota Bekasi, ada beberapa titik di wilayah Bekasi yang menjadi lokasi BPJS keliling. Berikut ini lokasi dan jadwalnya untuk bulan Desember 2023.














",NEWS
"Soal Rencana Pengalihan Anggaran Bansos, TKN Prabowo-Gibran: Itu Tidak Benar","KOMPAS.com - Ketua Tim Komunikasi Tim Kampanye Nasional (TKN) Prabowo Subianto-Gibran Rakabuming Raka (Prabowo-Gibran), Budisatrio Djiwandono menyangkal isu mengenai rencana pengalihan anggaran bantuan sosial (bansos), pendidikan, dan kesehatan ke program Makan Siang dan Susu Gratis serta Gizi untuk Ibu Hamil dalam kampanye pasangan nomor urut 2 tersebut.
“Saat ini sedang dikembangkan isu seolah-seolah Prabowo-Gibran akan mengalihkan anggaran dari bansos, dana pendidikan, dan dana kesehatan ke program Makan Siang Gratis. Saya tegaskan, itu tidak benar,” ujarnya dalam siaran pers yang diterima Kompas.com, Senin (4/12/2023).
Budisatrio juga menjelaskan bahwa semua kebijakan pemerintahan sebelumnya yang bermanfaat bagi masyarakat akan tetap dilanjutkan oleh pasangan Prabowo-Gibran.
Ia mengungkapkan bahwa Prabowo-Gibran merupakan pasangan calon (paslon) yang mendukung keberlanjutan pembangunan.
“Semua kebijakan pemerintah yang telah diterapkan dan memberikan manfaat langsung kepada kebutuhan masyarakat, seperti Kartu Indonesia Pintar (KIP), Kartu Indonesia Sehat (KIS), bansos, Program Keluarga Harapan (PKH), akan tetap kami lanjutkan. Bahkan, ke depannya akan ditambah dengan program Makan Siang Gratis,” jelas Budisatrio.
Untuk sumber anggaran dari program andalan pasangan nomor urut 2 itu, Budisatrio mengungkapkan bahwa akan dilakukan penambahan dana secara bertahap, sehingga semua agenda dapat berjalan tanpa adanya pengalihan anggaran.
Apabila Prabowo terpilih sebagai presiden pada Pemilihan Presiden (Pilpres) 2024, kata dia, kenaikan anggaran pada 2025 tidak secara otomatis terjadi.
“Semua akan dilakukan secara bertahap. Kami memiliki skala prioritas. Menurut perhitungan kami, target mencapai 82,9 juta penerima manfaat dari program ini baru dapat terwujud pada 2029. Tapi saya tekankan, tak ada pengalihan dari Badan Penyelenggara Jaminan Sosial (BPJS), KIP, KIS. Itu tidak benar,” tutur Budisatrio.
Oleh karena itu, lanjut dia, pihaknya masih memiliki waktu untuk menyusun anggaran, baik melalui efisiensi, peningkatan penerimaan anggaran, maupun sumber dana lainnya.
Budisatrio menyatakan bahwa program Makan Siang Gratis dan Susu Gratis, serta Gizi untuk Ibu Hamil merupakan salah satu program utama dari Prabowo-Gibran yang diharapkan dapat memberikan dampak besar bagi masyarakat.
Ia mencontohkan, program Makan Siang dan Susu Gratis yang dapat mengatasi kekhawatiran para ibu mengenai asupan makan siang bergizi bagi anak-anak di sekolah.
“Anak-anak juga dapat belajar dengan lebih baik karena kebutuhan perut mereka terpenuhi,” ucap Budisatrio.
Selain itu, lanjutnya, ekonomi masyarakat akan langsung meningkat karena rantai pasok program tersebut melibatkan para pelaku usaha mikro kecil dan menengah (UMKM) lokal.
Sementara itu, program Gizi untuk Ibu Hamil dan Anak di bawah usia 1.000 hari pertama kehidupan (HPK) juga akan membantu mengurangi beban dan kekhawatiran para ibu terkait asupan gizi yang cukup bagi anak-anak mereka.
“(Program) ini baru memberikan manfaat langsung, sementara manfaat jangka panjangnya akan lebih banyak lagi,” ucapnya.














",NEWS
"IKJ Gelar ""AnimaKini 2023"", Perkuat Ekosistem Animasi Indonesia di Era AI","KOMPAS.com - Program tahunan Fakultas Seni Rupa dan Desain (FSRD) Institut Kesenian Jakarta (IKJ) AnimaKini memasuki tahun ketujuh dan kembali digelar pada 4-5 Desember 2023 di Taman Ismail Marzuki, Jakarta.
Acara yang didukung Deskov FSRD IKJ dan Ainaki (Asosiasi Industri Animasi Indonesia) sejak dicetuskan kali pertama tahun 2016 ini didekasikan untuk mendukung generasi muda yang memiliki ketertarikan di bidang animasi.
AnimaKini 2023 mengusung tema “Rebooting Creativity"" mengandung makna bagaimana kreativitas seniman beradaptasi terhadap tantangan AI Image Generation dan tools kecerdasan buatan lain.
Seniman didorong untuk menata ulang cara berinovasi dan proses kreatif dengan melampaui batas-batas tradisional dalam ranah seni dan desain animasi di era digital.
""Ekosistem dari bidang animasi dan industri kita undang untuk hadir. Sebisa mungkin kita menghubungkan dan mempertemukan di AnimaKini,"" ungkap Rektor IKJ Indah Tjahjawula yang berharap IKJ menjadi pusat keunggulan perguruan tinggi di bidang animasi.
Indah menjelaskan, kegiatan AnimaKini 2023 diawali dari ""Animakini Goes To School"" yang berlangsung dari 19 Oktober hingga 22 November 2023 dengan memperkenalkan dunia animasi kepada sekolah-sekolah di Jabodetabek.
Rangkaian puncak AnimaKini, jelas Rektor IKJ, terdiri dari sharing animasi dengan narasumber dari pengajar FSRD IKJ dan profesional, Industri Animasi dan Film serta Game, talkshow menarik dengan Virtual Youtuber dan Cosplayer.
Selain itu digelar pula acara menonton animasi hasil dari 69 pelajar dan mahasiswa peserta lomba.
Ketua AnimaKini sekaligus dosen DKV IKJ Norman Adi menjelaskan, tahun ini sekitar 70-an mahasiswa dan studio animasi Tanah Air terlibat langsung dalam kegiatan ini. ""KIta ingin turut membangun ekosistem animasi Indonesia,"" tegas Norman Adi.
Dekan Dekan FSRD IKJ, Anindyo Widito berharap, AnimaKini dapat menjadi ajang kolaborasi dan membuat jejaring kerja antar wilayah antara sekolah, akademik, industri, pemerintah, dan komunitas.
""Animasi memegang peran besar dalam berbagai bidang industri kreatif mulai dari politik, sosial, budaya, iklan, musik, dan lainnya. Gen Z dan Alpha sudah terbiasa dengan digital. Begitu pentingnya animasi ini sehingga kita berkolaborasi dengan siswa dan masyarakat,"" jelas Anindyo.














",EDUKASI
Jokowi Bagi-bagi Bantuan Pangan di NTT," Kunjungannya ke sana untuk mengecek persediaan beras dan membagikan bantuan pangan cadangan beras pemerintah (CBP) kepada sejumlah keluarga penerima manfaat (KPM).
 Presiden Jokowi menyebut bahwa bantuan pangan tersebut telah disalurkan oleh pemerintah sejak bulan April 2023 dan akan terus disalurkan kepada keluarga penerima manfaat hingga bulan Maret 2024.
 “Jadi nanti bulan Januari, Februari, Maret (2024) diberikan lagi ya,” ujar Jokowi dilansir siaran pers Sekretariat Presiden, Senin.
 Di samping itu, Kepala Negara juga menyebut, ada bantuan lain dari pemerintah, yakni bantuan El Nino yang juga akan turut disalurkan kepada masyarakat untuk periode November dan Desember 2023.
 “Ini akan ditransfer November, Desember, Rp 400.000 kira-kira di minggu ini atau minggu depan yang belum,” kata dia.
 Dalam kesempatan tersebut, Presiden pun mengimbau kepada masyarakat yang belum terdaftar dalam Program Keluarga Harapan (PKH) dan Bantuan Pangan Non-tunai (BPNT) untuk bisa mendaftarkan diri ke RT/RW atau kelurahan/desa setempat agar dapat memperoleh bantuan terkait dari pemerintah.
 “Ibu-ibu ini ikut PKH? BPNT ikut? Yang belum dapat daftar ke kelurahan, ke RT, atau, kelurahan,” ujar Jokowi.
 Setelahnya, Kepala Negara masuk gudang untuk meninjau jumlah ketersediaan beras yang ada di Gudang Bulog Batu Cermin.
 Sebelumnya, Presiden Jokowi beserta rombongan bertolak menuju Provinsi NTT dari Pangkalan TNI AU Halim Perdanakusuma, Jakarta, sekitar pukul 13.25 WIB pada Senin.
 Turut mendampingi Presiden dalam penerbangan menuju Provinsi NTT adalah Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono, Sekretaris Militer Presiden Laksda TNI Hersan, dan Komandan Paspampres Mayjen TNI Rafael Granada Baay.
 














",NEWS
AHY: Lebih Sulit Jadi Wakil Rakyat yang Adil Dibandingkan yang Cerdas,"DEPOK, KOMPAS.com - Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) menilai, lebih sulit menjadi wakil rakyat yang adil dibandingkan wakil rakyat yang cerdas.
Sebab, kecerdasan dan kekuatan bisa dilatih. Namun, tidak dengan rasa keadilan.
""Menjadi wakil rakyat yang adil, berarti paling susah itu. Kalau pintar IQ tinggi bisa belajar tiap hari. Menjadi orang kuat bisa lari tiap hari, angkat beban, tambah vitamin kuat dia, tapi untuk menjadi adil itu sulit sekali,"" ujar AHY saat menyambangi Pondok Pesantren Al Quran Bani Syahid di Cimanggis, Kota Depok, Jawa Barat, Senin (4/12/2023).
Artinya, meski sulit diwujudkan, pemimpin yang adil akan memerhatikan segala aspek kehidupan warganya.
""Itu lah kehidupan kita, mari kita isi dengan perasaan-perasaan positif, tapi negara harus adil untuk para pencari kesejahteraan,"" ucap AHY.
Termasuk keadilan di mata hukum. Agar, kata dia, tidak ada lagi hukum yang runcing ke bawah dan tumpul ke atas.
""Juga adil di muka hukum. Hukum itu harus adil buat semua, jangan sampai tajam ke bawah tumpul ke atas. Tajam ke lawan, tumpul ke kawan. Kalau negara adil, walaupun belum semuanya sejahtera, maka insyaAllah negara Indonesia ini damai. Tapi tanpa keadilan tidak akan ada kedamaian,"" kata AHY.














",NEWS
"Bersinar di Real Madrid, Jude Bellingham Masih Bikin Ancelotti Kecewa","KOMPAS.com - Ada satu hal dari Jude Bellingham yang masih membuat Carlo Ancelotti ""kecewa"" meski gelandang timnas Inggris itu langsung bersinar pada musim pertamanya bersama Real Madrid.
Real Madrid memboyong Jude Bellingham dari Borussia Dortmund pada bursa transfer musim panas 2023 dengan paket harga 120 juta euro atau sekitar Rp 2 triliun.
Jika melihat performa gemilang Bellingham pada paruh pertama musim ini, biaya mahal yang dikeluarkan Real Madrid tampak sepadan dengan kualitas sang pemain.
Bellingham sukses mengemas 11 gol dan dua assists dari 13 penampilan di kompetisi teratas Liga Spanyol, LALIGA, musim 2023-2024.
Sementara itu di panggung Liga Champions, pemain berusia 20 tahun itu sanggup mencetak empat gol plus dua assists.
Meski langsung menunjukkan performa impresif pada musim debutnya bersama Real Madrid, rupanya ada satu hal dari Bellingham yang masih membuat sang pelatih, Carlo Ancelotti, kecewa.
Hal tersebut diungkapkan Bellingham dalam wawancara dengan media Italia, Tuttosport, usai Real Madrid bertandang ke markas Napoli pada matchday kelima Liga Champions, Kamis (30/11/2023).
Bellingham berkelakar, satu hal dari dirinya yang sampai kini masih membuat Ancelotti ""kecewa"" adalah ia belum bisa berbahasa Spanyol.
""Namun, saya tahu bahwa saya mengecewakan dia (Ancelotti) dalam satu aspek,"" kata Bellingham.
""Saya masih belum bisa berbahasa Spanyol. Saya minta maaf, tetapi saya menemukan kendala yang tidak saya harapkan dengan bahasa ini.""














",BOLA
