Judul,Berita
"Dapat Nomor Urut 3, Ganjar: Persatuan Indonesia"," Menurut dia, semangat persatuan Indonesia itu penting agar masyarakat Indonesia tidak terpecah belah akibat proses Pemilihan Umum (Pemilu 2024).
 ""Jadi kita mendapatkan nomor 3 itu pas, sesuai dengan sila ketiga 'Persatuan Indonesia', kita satukan semuanya dalam proses politik yang menggembirakan,"" kata Ganjar dalam acara pengundian nomor urut di Kantor KPU, Jakarta, Selasa (14/11/2023).
 Ganjar menuturkan, masyarakat seharusnya mendapat kebahagiaan dalam proses pelaksanaan pemilu. Namun, menurut dia, publik justru disuguhi drama yang menggelisahkan.
 ""Ada tokoh agama, ada guru-guru bangsa, ada seniman, ada budayawan, ada teman-teman jurnalis, ada para pemred, para aktivis mahasiswa, dan semuanya sedang menyuarakan kegelisahan itu,"" kata dia.
 Mantan Gubernur Jawa Tengah ini pun menegaskan bahwa semua pihak harus mengupayakan jalannya demokrasi yang menurutnya belum baik-baik saja.
 Ia mengatakan, perjalanan demokrasi layaknya aliran ait yang terkadang lurus, tapi bisa berliku-liku seperti yang ia anggap terjadi saat ini.
 ""Tapi percayalah, air yang mengalir itu dia akan mengikuti arah batinnya, dia tidak akan bisa dibendung dengan cara apa pun, dan kalau bendungan itu dia paksakan, dia akan tetep mencari jalannya sampai tiba di muara,"" kata Ganjar.
 ""Muara itulah muara demokrasi yang hari ini kita idam-idamkan dan tentu saja inilah kesepakatam hari ini yang mesti kita jaga,"" ucap dia.
Pasangan Ganjar Pranowo-Mahfud MD mendapat nomor urut 3, sedangkan Anies Baswedan-Muhaimin Iskandar nomor urut 1, dan Prabowo Subianto-Gibran Rakabuming nomor 2.














"
"Prabowo: Kalau Pemilu Curang, Mengkhianati Bangsa dan Negara","JAKARTA, KOMPAS.com - Calon presiden (capres) Koalisi Indonesia Maju, Prabowo Subianto, berharap Pemilu Presiden (Pilpres) 2024 berjalan dengan jujur dan adil. Ia tidak ingin ada kecurangan dalam bentuk apa pun.
Ini disampaikan Prabowo usai mengikuti pengundian nomor urut capres-cawapres Pemilu 2024 di Gedung Komisi Pemilihan Umum (KPU) RI, Jakarta, Selasa (14/11/2023).
“Karena kalau melaksanakan pemilu yang curang, mengkhianati bangsa dan rakyat Indonesia,” kata Prabowo.
Prabowo mengaku bangga Indonesia menjadi salah satu negara demokrasi terbesar di dunia. Sebagai negara demokrasi, Indonesia telah menyelenggarakan pemilu selama beberapa periode.
Dalam proses pemilu tersebut, kata Prabowo, kejujuran menjadi hal yang utama.
Tak cuma peserta pemilu yang diharapkan jujur, KPU dan Badan Pengawas Pemilu (Bawaslu) sebagai penyelenggara pemilu pun diharapkan independen.
“Kita percaya dan yakin KPU akan melaksanakan semua proses pemilihan umum dengan sebaik-baiknya, dengan sejujur-jujurnya, dengan seadil-adilnya tanpa kecurangan apa pun,” ujar Prabowo.
Prabowo berharap, Pemilu Presiden 2024 dapat berlangsung dengan suasana penuh kekeluargaan, riang gembira, dan saling mengasihi.
“Siapa pun yang menang, kita harus bersatu menjaga negara ini,” tuturnya.
Adapun dalam pengundian nomor urut peserta Pilpres 2024, Prabowo Subianto-Gibran Rakabuming Raka mendapat nomor urut 2.
Sementara, pasangan capres-cawapres Koalisi Perubahan untuk Persatuan, Anies Baswedan-Muhaimin Iskandar, mendapatkan nomor urut 1.
Lalu, capres-cawapres koalisi PDI-P Ganjar Pranowo dan Mahfud MD mendapatkan nomor urut 3.
Kongsi yang mengusung Anies-Muhaimin menamakan diri sebagai Koalisi Perubahan untuk Persatuan. Poros ini diisi oleh Partai Nasdem, Partai Kebangkitan Bangsa (PKB), dan Partai Keadilan Sejahtera (PKS) sebagai parpol Parlemen, lalu Partai Ummat dari kalangan parpol non-Parlemen.
Sementara, Prabowo-Gibran diusung oleh sejumlah partai politik (parpol) yang tergabung dalam Koalisi Indonesia Maju (KIM). Sedikitnya, ada empat partai politik Parlemen yang tergabung dalam KIM, yaitu Partai Gerindra, Partai Golkar, Partai Demokrat, dan Partai Amanat Nasional (PAN).
Selain itu, KIM juga diramaikan sejumlah partai politik non-Parlemen, yakni Partai Bulan Bintang (PBB), Partai Gelora, Partai Solidaritas Indonesia (PSI), dan Partai Garuda.
Ganjar-Mahfud diusung oleh PDI Perjuangan dan Partai Persatuan Pembangunan (PPP) sebagai partai Parlemen, juga Partai Hanura dan Partai Perindo sebagai parpol non-Parlemen.














"
Nestle Indonesia PHK 126 Karyawan di Pabrik Jawa Timur,"JAKARTA, KOMPAS.com - PT Nestle Indonesia melakukan pemutusan hubungan kerja (PHK) 126 karyawannya di Pabrik Kejayan, Pasuruan, Jawa Timur. Hal ini diketahui dari laporan Federasi Serikat Buruh Makanan dan Minuman (FSBMM).
Merespons kabar tersebut, manajemen Nestle Indonesia menyatakan, perusahaan sedang melakukan penyesuaian bisnis untuk menjadi lebih tangkas dan efisien guna dapat terus tumbuh dalam jangka waktu ke depan.
 ""Sebagai hasil dari perubahan ini, dengan menyesal, beberapa peran karyawan akan terdampak,"" ungkap manajemen Nestle Indonesia dalam keterangannya, Selasa (14/11/2023).
Unsplash Ilustrasi PHKManajemen menyatakan, perusahaan akan melakukan yang terbaik untuk meminimalkan dampak dari perubahan ini kepada karyawan, serta memastikan tidak ada gangguan dalam pelayanan terhadap konsumen dan mitra bisnis.
 Manajemen Nestle Indonesia pun menegaskan, melalui perubahan yang dilakukan, perusahaan tetap berkomitmen terhadap pembangunan Indonesia. 
 Perusahaan mengklaim, dengan telah beroperasi di Indonesia sejak 1971, selama lebih dari 50 tahun Nestle Indonesia telah menciptakan manfaat untuk konsumen, karyawan, mitra bisnis, dan bumi. 
 ""Kami percaya transformasi ini dapat memperkuat bisnis kami di Indonesia, dan memungkinkan kami untuk terus menciptakan manfaat bersama di seluruh negeri,"" kata pihak manajemen.
 Sebelumnya, Presiden Federasi Serikat Buruh Makanan dan Minuman (FSBMM) Dwi Haryoto mengatakan, 126 karyawan Nestle Indonesia yang terkena PHK sebagian besar bergabung dalam Serikat Buruh Nestle Indonesia Kejayan (SBNIK). 
 SBNIK beranggotakan 731 orang yang bernaung di bawah Federasi Serikat Buruh Makanan dan Minuman (FSBMM), dan berafiliasi dengan International Union Of Food (IUF). 














"
Lirik dan Chord Lagu I Tried to Leave You - Leonard Cohen,"Lagu bergenre pop tersebut dirilis pada 1988 melalui label rekaman Columbia Records.
“I Tried to Leave You” muncul dalam album studionya yang bertajuk I’m Your Man.
Berikut ini lirik dan chord lagu “I Tried to Leave You” dari Leonard Cohen:
 
[Intro]Em Bm Em Bm
[Verse 1]Em            Bm           Em        BmI tried to leave you, I don't denyEm                 Bm                  D                    AI closed the book on us, at least a hundred times       C                     G                       B   B A G F#I'd wake up every morning by your side
[Verse 2]Em                Bm Em                      BmThe years go by, you lose your prideEm                 Bm                      D                    AThe baby's crying, so you do not go outside        C                         G                         B    B A G F#And all your work it's right before your eyes
[Verse 3]Em                      Bm         Em                        BmGoodnight, my darling, I hope you're satisfiedEm                          Bm                      D                             AThe bed is kind of narrow, but my arms are open wide         C                            G                       B     B A G F#And here's a man still working for your smile
[Outro]Em Bm Em Bm














"
"Lirik Lagu Another Life, Lagu Baru dari PinkPantheress feat. Rema","Di lagu ini ia berkolaborasi dengan penyanyi asal Nigeria, Rema. lagu ini juga merupakan bagian dari debut album PinkPantheress yang bertajuk Heaven Knows.
“Another Life” dirilis secara resmi melalui label Warner Records dan kini sudah dapat didengarkan di berbagai layanan streaming musik digital.
Berikut ini lirik lagu “Another Life (feat. Rema)” dari PinkPantheress:
 
[Verse 1: PinkPantheress]I'm in front of you with no makeupIn the morning, can you please wake up, babe?Now you're scarin' me, your alarm's onAre you sleepin'? Because it's been so longGuess you died today? And I can't believe itYou lost your soul, you know that you can't start thisGuess you died today? Please give me a signAt least we know that God was givin' you time
[Chorus: PinkPantheress]You melt up my body and all my heartAt least now we'll get all the time apartGuess I'll see you in another life (Guess I'll see you in another life)I guess I'll see you in another life (Life)You m?lt up my body and all my heartAt least now we'll g?t all the time apartGuess I'll see you in another life (Guess I'll see you in another life)I guess I'll see you in another life (Life)
[Interlude: Rema]I'm light-headed off the shisha and the cigaretteAll that shit got me like, ""Ah, ah, ah, ah""
[Verse 2: Rema, PinkPantheress & Rema]What the, uh, I think someone spiked my shitYou could call me Nirvana and yeah, yeah, you my bitch, uh-uhGot a chance to slap my demons on their wrist, uh huh (Yeah)You finna move on when you cry for a week (Yeah, yeah)You don't get me, you don't get me, you don't get me at all, yeah (Yeah)You know sex is my only therapy, yeahPromise you ain't gon' be with nobody elseCrazy I can't feel my flesh, I feel your love, that's okay
[Chorus: PinkPantheress & Rema]You melt up my body and all my heartAt least now we'll get all the time apartGuess I'll see you in another life (See you in another life)I guess I'll see you in another life (See you in another life)You melt up my body and all my heartAt least now we'll get all the time apartGuess I'll see you in another life (Guess I'll see you in another life)I guess I'll see you in another life (Life)
[Outro: PinkPantheress](Guess I'll see you in another life)You don't get me, you don't me, you don't get me at all, yeah
 














"
Penderita Diabetes Tetap Sehat dengan Menerapkan 4 Kebiasaan Ini ,"Sebagai informasi, penyakit diabetes terbagi dalam dua jenis, yakni diabetes melitus tipe 1 dan diabetes tipe 2.  Diabetes tipe 1 merupakan kondisi kronis saat pankreas tidak dapat memproduksi insulin sama sekali. Biasanya, diabetes tipe ini disebabkan oleh gangguan autoimun.  Sementara, diabetes tipe 2 terjadi ketika tubuh menjadi resisten terhadap insulin serta gula menumpuk di dalam darah. Pada kondisi ini, tubuh tidak memproduksi cukup insulin atau justru menolak insulin.
 Ada sejumlah faktor penyebab diabetes tipe 2. Salah satunya, gaya hidup pasif alias minim bergerak dan olahraga, pola makan tak seimbang, obesitas, serta pertambahan usia. 
Lantas, apa saja yang bisa dilakukan para diabetesi agar tetap sehat? Berikut Kompas.com rangkumkan empat kebiasaan yang dapat diterapkan para diabetesi. 
Salah satu cara yang bisa dilakukan agar diabetesi tetap sehat adalah mengonsumsi gula nol kalori. Pengganti gula yang dapat dikonsumsi adalah pemanis alami yang berasal dari tanaman Stevia rebaudiana.
Pemanis tersebut bebas kalori dan tidak menaikkan kadar gula darah sehingga dapat dikonsumsi untuk mengontrol gula darah.
Pengganti gula berikutnya adalah sukralosa. Untuk diketahui, sukralosa merupakan gula pengganti tanpa kalori yang dapat menggantikan gula pasir dalam makanan dan minuman diabetesi. Sukralosa pun cocok digunakan untuk memasak serta tetap memiliki cita rasa manis yang stabil.
Adapun sukralosa terkandung dalam nutrisi pengganti makan yang lengkap untuk para diabetesi, yaitu Diabetasol.
Berolahraga secara teratur juga dapat diterapkan agar diabetesi tetap sehat. Jenis olahraga yang diterapkan pun dapat disesuaikan dengan preferensi. Salah satunya, berjalan kaki.
Tidak perlu waktu lama, dengan 20-30 menit berjalan kaki setiap hari, Anda dapat mengontrol kadar gula darah dengan baik. Pasalnya, ketika berjalan kaki, otot menggunakan lebih banyak glukosa dalam darah.
Olahraga lain yang dapat dipilih adalah bersepeda secara rutin. Selain bisa menurunkan gula darah, olahraga ini dapat melatih sendi-sendi tubuh sehingga tetap kuat dalam menjalani aktivitas sehari-hari.
Di samping menerapkan langkah-langkah tersebut, kebiasaan yang tak kalah penting para diabetesi adalah berkonsultasi ke dokter untuk memastikan kondisi kesehatannya.
Selain itu, cek kadar gula darah secara berkala ke dokter ataupun pusat layanan kesehatan guna mengidentifikasi kadar gula darah harian.
Menerapkan pola makan sehat adalah kunci penting agar terhindar dari diabetes tipe 2. Salah satunya, dengan mengonsumsi sumber pangan yang kaya nutrisi atau nutrisi khusus untuk diabetes.
Mengonsumsi ikan, misalnya, bahan pangan ini mengandung asam lemak omega 3 DHA dan EPA yang dapat menurunkan risiko jantung serta menjaga kadar gula darah.
Selain itu, konsumsi pula sayur berwarna hijau yang kaya akan vitamin, mineral, dan berbagai esensial, seperti sawi, bayam, pakcoi, dan brokoli.
Anda juga perlu mengonsumsi buah-buahan yang kaya antioksidan, seperti stroberi dan blueberry. Apalagi, buah kelompok beri mengandung serat tinggi serta mineral dan vitamin esensial yang membantu peningkatan kadar gula darah.
Itulah empat kebiasaan yang dapat diterapkan para diabetesi tetap sehat dengan diabetes terkontrol.
Selain menerapkan langkah-langkah tersebut, tak kalah penting adalah mengonsumsi nutrisi khusus untuk diabetes. Pasalnya, komposisi nutrisi tersebut sudah disesuaikan dengan kebutuhan untuk mengontrol gula darah.
Dok. Kalbe -
Adapun salah satu nutrisi khusus yang dapat dikonsumsi sehari-hari bagi para diabetesi adalah Diabetasol. Produk ini adalah asupan nutrisi pengganti makan yang lengkap dan seimbang untuk para diabetesi.
Salah satu kandungan dalam Diabetasol adalah Vita Digest yang mengandung isomaltosa. Isomaltulosa tersebut baik untuk mengontrol gula darah, karena memiliki indek glikemik yang rendah sehingga dicerna oleh tubuh secara perlahan.
Diabetasol juga dilengkapi dengan vitamin A, C, E, zink, protein, omega-3, dan tinggi serat, sehingga dapat membantu meningkatkan daya tahan tubuh diabetesi, kesehatan pencernaan, serta menurunkan hipertensi dan kolesterol.
Selain itu, Diabetasol juga dilengkapi dengan tinggi kalsium dan vitamin D untuk menjada kesehatan tulang dan sendi.
Untuk mendapatkan manfaat optimal, diabetesi direkomendasikan untuk mengonsumsi Diabetasol dua kali sehari sebagai pengganti makan pagi dan sebelum tidur untuk kontrol gula darah yang baik.
Sebagai informasi, Diabetasol kini mempunyai varian baru, Diabetasol Almond Oat, yang diperkaya dengan kebaikan almond dan oat yang baik untuk mengontrol gula darah.
Diabetasol Almond Oat tersebut dapat di beli di Alfamart dan toko sekitar Anda. Untuk mendapatkan produk Diabetasol, klik tautan berikut."
"Jalan Tol Akses Stasiun Kereta Cepat Whoosh Karawang Akan Dibangun, PUPR: Masih Perlu Pembebasan Lahan","JAKARTA, KOMPAS.com - Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) tengah mempersiapkan pembangunan jalan tol untuk aksesibilitas Stasiun Kereta Cepat Whoosh Karawang. 
Juru Bicara Kementerian PUPR Endra S Atmawidjaja mengatakan, saat ini proses pembangunan jalan tol ini baru memasuki tahap pengukuran. Namun belum dilakukan penetapan lokasi (penlok).
""Lagi diukur. Penloknya belum,"" ujarnya saat ditemui di Hotel The Westin, Jakarta, Selasa (14/11/2023).
KOMPAS.COM/M. Elgana Mubarokah Kondisi Stasiun Kereta Cepat Jakarta-Bandung (KCJB) di Stasiun Tegalluar, Kabupaten Bandung, Jawa Barat, sesaat sebelum pemberangkatan pada Selasa (31/10/2023)
Saat ditanyai target dimulainya konstruksi, Endra menyebut, pihaknya ingin agar proyek pembangunan jalan tol untuk akses Stasiun Karawang dapat dilakukan secepatnya.
Namun, dalam prosesnya tersendat pada pembebasan lahan lantaran masih banyak lahan milik warga yang belum dibeli pemerintah.
""Masih perlu ngebebasin (lahan warga). Kita tunggu penloknya, kita sudah usulkan. Jawa Barat itu kan dari pak Gubernur,"" ucapnya.
Diberitakan sebelumnya, Kementerian PUPR melalui Direktorat Jenderal Bina Marga menargetkan pelaksanaan konstruksi Proyek Aksesibilitas Tol menuju Stasiun Kereta Cepat Jakarta-Bandung harus dimulai akhir tahun ini.
""Awal pelaksanaan konstruksinya harus tahun ini,"" ujar Direktur Jenderal Bina Marga Hedy Rahadian di Gedung DPR RI, Jakarta, Rabu (6/9/2023) lalu. 
Hedy mengatakan, pelaksanaan Proyek Aksesibilitas Tol ke Stasiun Kereta Cepat sudah ada pembagiannya, dan Kementerian PUPR mendapatkan tugas untuk melakukan pembebasan lahan di Karawang, Jawa Barat.














"
Penyedap Rasa Sintetis: Pengertian dan Contohnya,"KOMPAS.com – Penyedap rasa adalah salah satu bahan yang biasa digunakan dalam pembuatan makanan. Namun, tahukah kamu apa yang dimaksud dengan penyedap rasa sintetis? Berikut adalah penjelasannya!
Penyedap rasa sintetis adalah zat aditif buatan yang ditambahkan ke dalam makanan untuk meningkatkan rasa dari suatu makanan.
Penyedap rasa dapat memperkuat atau menambahkan rasa pada suatu makanan.
Dilansir dari Science in The News, bahan penyedap rasa dapat membuat makanan rendah lemak ampak kaya dan lembut ata menambahkan rasa asin pada makanan yang rendah sodium atau garam.
Adapun dilansir dari U.S. Food and Drug Administration, penyedap rasa sintetis adalah bahan penyedap apa pun yang tidak didefinisikan sebagai penyedap alami yang diisolasi dari sumber alami meskipun memiliki komposisi kimia yang sama persis.
Bahan penyedap rasa sintetis dapat memberikan rasa karena merupakan senyawa kimia atau campuran senyawa kimia yang membentuk rasa dan bau tertentu.
Bahan penyedap rasa sintetis dibuat di dalam laboratorium melalui kontrol yang ketat, sehingga aman dikonsumsi oleh manusia dalam jumlah tertentu.
Ada berbagai jenis bahan penyedap rasa sintetis. Contoh bahan penyedap rasa sintetis yaitu:














"
"Gibran: Kalau Ada Kecurangan Pemilu 2024, Silakan Lapor ke Bawaslu"," Menurut dia, jika terjadi kecurangan di Pemilu 2024, hal tersebut harus dilaporkan ke Badan Pengawas Pemilu (Bawaslu).
 ""Untuk masalah kecurangan, sekali lagi kalau ada kecurangan atau hal-hal yang tidak pas, itu nanti silakan bisa dilaporkan ke Bawaslu. Terima kasih,"" ujar Gibran saat ditemui di Area 47, Jakarta Pusat, Selasa (14/11/2023).
 Sebelumnya, Megawati mengingatkan agar semua pihak tidak mengulangi kecurangan pemilu.
 Pernyataan tersebut disampaikan Megawati merespons putusan Mahkamah Konstitusi (MK) Nomor 90/PUU-XXI/2023 terkait syarat usia calon presiden dan wakil presiden yang dinilai banyak pihak syarat dengan nepotisme.
 ""Jangan biarkan kecurangan Pemilu yang akhir ini terlihat sudah mulai akan terjadi lagi,"" kata Megawati sebagaimana disiarkan di YouTube PDI-P, Minggu.
 Megawati mengatakan, apa yang terjadi di MK menyangkut putusan perkara tersebut menyadarkan semua pihak mengenai adanya manipulasi hukum.
 Ia menyebutkan, persoalan itu timbul dari praktik kekuasaan yang telah mengabaikan politik berdasarkan nurani dan kebenaran hakiki.
Megawati meminta semua pihak terus mengawal Pemilu 2024 dengan nurani sepenuh hati.
 ""Jangan lupa, kita adalah bangsa pejuang. Kita bangsa yang mampu mengatasi berbagai cobaan sejarah,"" tutur Megawati.














"
"Tak Ajak Relawan ke KPU Saat Ambil Nomor Urut, Anies: Kita Ingin Suasana Kondusif","JAKARTA, KOMPAS.com - Calon presiden (capres) Koalisi Perubahan Anies Baswedan tak mengajak relawannya untuk datang ke Komisi Pemilihan Umum (KPU) malam ini, Selasa (14/11/2023).
Alasannya, ia ingin menjaga situasi di tengah pengundian nomor urut peserta Pemilihan Presiden (Pilpres) 2024 tetap teduh.
“Malam ini (relawan) enggak (ikut) ya, karena ini pengambilan nomor, malam dan ada tiga paslon datang,” ujar Anies di Jalan Diponegoro 10, Menteng, Jakarta, Selasa (14/11/2023).
“Kita ingin agar suasananya tenang, teduh, kondusif,” sambungnya.
Di sisi lain, Anies mengungkapkan, mengajak keluarganya untuk menemani proses pengambilan nomor urut.
Alasannya, keluarga adalah pemberi semangat utama dan harus merasakan animo pesta demokrasi mendatang.
“Suami, istri, anak-anak, itulah unit terkecil yang harus merasakan kebahagiaan di Indonesia, keluarga ini,” tutur dia.

Sebelumnya, Sekretaris Tim Kampanye Nasional (TKN) Prabowo-Gibran, Nusron Wahid juga meminta pendukungnya tak hadir di KPU.
“Kepada pendukung-pendukung kami dalam rangka pengambilan dan penetapan nomor urut besok malam supaya juga tidak perlu datang ke KPU. Kenapa? Guna menghindari hal-hal yang tidak diinginkan,” ucap Nusron di Rumah Besar Relawan Prabowo-Gibran, Slipi, Jakarta, Senin (13/11/2023).














"
