Judul,Berita,Topik
Rental PS Milik Komika Arafah Rianti Kemalingan,"Diketahui, lokasi rental PS Arafah Rianti berada di daerah Depok, Jawa Barat.
Melalui Insta Story-nya, Arafah Rianti berkeluh kesah setelah salah satu barang berharga yang ada di rental PS miliknya dicuri seseorang.
“Lagi capek banget karena bikin rental baru. Eh, rentalnya di maling,” tulis Arafah Rianti dalam Insta Story-nya, dikutip Senin (4/12/2023).
Arafah Rianti yang dibuat pusing akan musibah yang menimpanya ini merasa lelah.
“Ada saja masalahnya,” kata Arafah Rianti.
Dalam rekaman video CCTV yang diunggah Arafah Rianti, terlihat seorang pria berusia 30an memasuki rental PS miliknya.
Terlihat pria tersebut dengan tenang masuk dan mengamati barang-barang yang ada di dalam rental PS.
Karena sikap tenangnya ini, beberapa pengunjung rental PS yang tengah asyik bermain sampai tak menyadari gerak-gerik pria tersebut.
Setelah merasa aman, pria tersebut mengambil satu unit ponsel yang diletakkan di etalase.
Setelahnya, pria tersebut pun pergi meninggalkan lokasi.
Peristiwa sendiri terjadi pada Rabu (29/11/2023).
 














",HYPE
DPRD DKI Larang Pemprov Pakai Gedung Sekolah untuk Gudang Logistik Pemilu 2024,"JAKARTA, KOMPAS.com - Komisi A DPRD DKI Jakarta meminta agar Pemerintah Provinsi DKI Jakarta tak menjadikan gedung sekolah sebagai tempat rekapitulasi dan gudang logistik Pemilu 2024.
 Ketua Komisi A DPRD DKI Jakarta Mujiyono mengatakan, penggunaan gedung sekolah dikhawatirkan akan mengganggu kegiatan belajar mengajar para siswa.
 Sebab, penggunaan ruangan untuk proses penghitungan suara dan penyimpanan logistik memakan waktu berhari-hari.
 “Jangan sekolahan lagi, mobilitasnya untuk anak-anak yang belajar. Harus segera diselesaikan,” ujar Mujiyono di DPRD DKI Jakarta, Senin (4/12/2023). 
 Sementara itu, Wakil Ketua Komisi A DPRD DKI Jakarta Inggard Joshua meminta Pemerintah Provinsi DKI Jakarta menyewa tempat untuk gudang logistik dan tempat rekapitulasi Pemilu 2024.
 Langkah ini perlu dilakukan jika tak ada lagi tempat milik pemerintah daerah yang bisa digunakan.
 “Jadi memang itu tidak perlu ditinjau lagi yang namanya sekolahan. Jadi banyak masalah. Kalau mau cari (tempat), sekaligus sewa tempat saja,” kata Inggard.
 Sebelumnya, KPU DKI Jakarta meminta pemerintah provinsi menyewa tempat untuk gudang logistik dan tempat rekapitulasi surat suara Pemilu 2024 di wilayah Mampang Prapatan dan Kebayoran Lama.
 Sebab, hingga saat ini, KPU DKI Jakarta belum mendapatkan gudang dan tempat rekapitulasi di dua kecamatan tersebut.
 Terkait hal ini, Wali Kota Jakarta Selatan Munjirin mengatakan, pihaknya akan mengupayakan penggunaan gedung sekolah, untuk gudang logistik dan tempat rekapitulasi.
 Jika tidak memungkinkan, pihaknya berencana menyewa gedung untuk digunakan oleh KPU DKI Jakarta selama tahapan Pemilu 2024.
 ""Komunikasi terakhir KPU Jaksel, kalau memungkinkan nanti kepala sekolah dipanggil dengan sudin disdik untuk mengatasi,"" kata Munjirin.
 ""Tapi kalau tidak memungkinkan, ya khusus untuk rekapnya itu nanti kita sewa tempat. KPU kemarin sampaikan begitu,"" sambungnya.














",NEWS
"Rihana Divonis Empat Tahun Penjara, Lebih Ringan dari Tuntutan Jaksa","TANGERANG, KOMPAS.com - Majelis hakim Pengadilan Negeri (PN) Kota Tangerang memvonis terdakwa Rihana dengan hukuman pidana empat tahun penjara dalam kasus penipuan preorder iPhone.
 Majelis hakim menyatakan, Rihana terbukti secara sah dan meyakinkan bersalah dalam kasus penipuan preorder iPhone terhadap para reseller-nya.
 Dia terbukti melanggar Pasal 45 Ayat 1 juncto Pasal 28 Ayat 1 Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Undang-Undang Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik (ITE).
 ""Mengadili, menyatakan terdakwa Rihana alias Nana telah terbukti secara sah dan meyakinkan bersalah melakukan tindak pidana dengan sengaja dan tanpa hak menyebarkan berita bohong dan menyesatkan yang mengakibatkan kerugian konsumen dalam transaksi elektronik,"" ucap dalam sidang pembacaan putusan di PN Tangerang, Senin (4/12/2023) malam.
 ""Menjatuhkan, pidana Rihana dengan pidana selama empat tahun,"" ucap dia melanjutkan.
 Selain pidana penjara, Rihana juga divonis hukuman denda sebesar Rp 1 miliar subsider delapan bulan kurungan penjara.
 Adapun vonis ini lebih ringan daripada tuntutan jaksa penuntut umum (JPU) pada Kejaksaan Negeri Tangerang Selatan.
 Jaksa menuntut Rihana dengan hukuman penjara lima tahun dan denda Rp 1 miliar.
 Dalam kasus ini ada terdakwa lainnya, yakni saudari kembar Rihana bernama Rihani yang bakal divonis malam ini.
 Jaksa menilai, Rihana-Rihani terbukti secara sah dan meyakinkan bersalah melakukan tindak pidana yang mengakibatkan konsumennya rugi.
 Kemudian, jaksa meminta barang bukti yang disita dalam perkara tersebut untuk dikembalikan kepada korban. 
 Di antaranya, sepasang sepatu sandal merek Tory Burch, 1 tas merek Goyard, 1 tas merek Louis Vuitton OnTheGo, 2 buah tumbler merek Corkcicle, dan 1 bedak merek Yves Saint Laurent.
 Sebagai informasi, kasus penipuan yang dilakukan Rihana-Rihani telah dilaporkan sejak Juni-Oktober 2022. 
 Setidaknya, terdapat lebih dari 18 laporan polisi soal tindak pidana yang dilakukan si kembar.
 Para korban melapor di berbagai tempat, mulai dari Kepolisian Resor (Polres) Tangerang Selatan, Polres Metro Jakarta Selatan, hingga Polda Metro Jaya. 
 Rihana Rihani melancarkan aksi penipuannya dengan modus menjual iPhone kepada reseller. Keduanya menggunakan sistem preorder untuk mendapat pelanggan.
 Para korban dijanjikan mendapat iPhone dengan harga lebih murah dari pasaran.














",NEWS
"Gunung Marapi Meletus, Menparekraf Imbau Wisatawan dan Masyarakat Sekitar Waspada","KOMPAS.com - Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) Sandiaga Salahuddin Uno mengimbau masyarakat di sekitar kawasan Gunung Marapi, Sumatera Barat untuk meningkatkan kewaspadaan pascaerupsi Gunung Marapi, Minggu (3/12/2023).
""Imbauannya untuk masyarakat yang akan berwisata, meningkatkan kewaspadaannya,"" kata Sandiaga dalam program The Weekly Brief with Sandi Uno di Gedung Sapta Pesona, Jakarta, Senin (4/12/2023).
Sandi melanjutkan, saat ini tim khusus di bawah staf ahli menteri bidang manajemen krisis, Kementerian Pariwisata dan Ekonomi Kreatif (Kemenparekraf) telah berkoordinasi dengan dinas setempat dalam penanganan bencana erupsi Gunung Marapi di Sumatera Barat.
""Kita ada tim khusus di bawah staf ahli menteri bidang manajemen krisis dan telah berkoordinasi dengan dinas setempat, kita akan tindak lanjuti,"" katanya.
Sandi berharap, bantuan penanganan bencana erupsi Gunung Marapi bisa diutamakan dan dijadikan prioritas.

""Kita pastikan penanganan untuk beberapa destinasi wisata dan nagari-nagari (sebutan untuk suatu daerah di Sumatera Barat) wisata di Sumbar,"" katanya.
Menparekraf juga turut prihatin dan menyatakan bela sungkawa kepada korban erupsi Gunung Marapi, terutama kepada 11 orang korban yang meninggal.
Menambahkan dari Kompas.com, per Senin (4/12/2023) dilaporkan 11 pendaki tewas terjebak di atas Gunung Marapi, sementara 12 orang lainnya belum ditemukan.
Sebelumnya, dilaporkan bahwa Gunung Marapi di Sumatera Barat meletus pada Minggu (3/12/2023) sekitar pukul 14.53 WIB. Kepala Pos Pengamatan Gunung Marapi, Ahmad Rifandi membenarkan telah terjadi erupsi.
“Ketinggian kolom abu tidak teramati karena tertutup awan. Untuk radius erupsi masih di 3 kilometer,” kata Rifandi yang dihubungi Kompas.com, Minggu (3/12/2023).
Antara/HO- BPBD Agam Kondisi Gunung Marapi saat meletus, Minggu (3/12/2023).  














",TRAVEL
"Cabut Laporan terhadap Leon Dozan, Rinoa Aurora ""Diangkat"" Anak oleh Willy Dozan","Hal ini terjadi seiring perdamaian dan pencabutan laporan hukum oleh Rinoa tentang penganiayaan yang dilakukan anak Willy Dozan, Leon Dozan.
""Ya betul,"" ucap penyanyi Betharia Sonata, ibu Leon Dozan, di Polres Metro Jakarta Pusat, Senin (4/12/2023).
Namun Betharia tidak bisa menjelaskan lebih detail tentang alasan mantan suaminya itu.
Rinoa mengatakan ia hanya berharap niat ayah Leon Dozan itu baik.
""Dalamnya laut kan bisa diukur, dalamnya hati siapa tahu. Saya yang penting niat saya baik,"" kata Rinoa Aurora yang duduk di samping Betharia Sonata.
Sementara itu, Willy Dozan sempat datang ke Polres Metro Jakarta Pusat dan bertemu awak media.
Namun setelah menyelesaikan urusannya di lantai atas Willy langsung pulang. Hanya mobilnya yang terlihat terlalu berlalu.
Rinoa mencabut laporannya terhadap Leon. Rinoa mengaku tulus memaafkan mantan pacarnya itu.
Diberitakan sebelumnya, Betharia Sonata sempat bersujud di hadapan ibunda Rinoa, Yuliana Asaad, demi putranya.
Walau laporan terhadap Rinoa sudah dicabut, polisi masih mengkaji syarat lain bagi Leon bisa  mendapatkan restorative justice.
Di sisi lain Leon masih terlibat kasus penghinaan terhadap institusi Polri.














",HYPE
Gunung Api Meletus Mendadak Saat Ramai Pendaki: Erupsi Merapi 2018,"KOMPAS.com – Gunung Merapi di Provinsi Jawa Tengah dan Daerah Istimewa Yogyakarta (DIY), dulunya merupakan salah satu tujuan favorit pendakian.
Menuju area puncak Gunung Merapi dulu bisa dilakukan dari Kecamatan Selo, Kabupaten Boyolali, Jawa Tengah.
Kompas.com dulu juga sudah beberapa kali mendaki Gunung Merapi dan menyaksikan sendiri panorama kawah aktif yang mengeluarkan asap.
Namun, pendakian Gunung Merapi akhirnya ditutup setelah beberapa kali mengalami erupsi pada 2018.

Penutupan pendakian Gunung Merapi bahkan berlangsung hingga sekarang atau sudah lima tahun lebih. Status Gunung Merapi juga masih berada di Level III atau Siaga.
Pada Erupsi Merapi tahun 2018 silam, saat itu pendakian Gunung Merapi masih dibuka untuk umum.
Dilansir dari Kompas.com, Jumat (11/5/2018), Erupsi Merapi itu terjadi pada Jumat (11/5/2018). 
KOMPAS.com/ANGGARA WIKAN PRASETYA Gunung Merapi dilihat dari Jalan Magelang-Boyolali.
Letusan terjadi pada pukul 07.50 WIB disertai suara gemuruh bertekanan sedang hingga kuat dengan tinggi kolom mencapai 5.500 meter dari puncak kawah.
""Letusan berlangsung tiba-tiba. Jenis letusan adalah letusan freatik yang terjadi akibat dorongan tekanan uap air yang terjadi akibat kontak massa air dengan panas di bawah kawah Gunung Merapi,"" kata Humas Badan Nasional Penanggulangan Bencana (BNPB) saat itu, Sutopo Purwo Nugroho melalui rilis.
Saat erupsi terjadi, ada 160 pendaki di kawasan puncak Gunung Merapi. Semua pendaki bisa dievakuasi dengan selamat.
Hanya ada delapan pendaki yang luka-luka karena terjatuh saat berlari akibat panik ketika melihat Merapi meletus.
Sebuah kiriman dibagikan oleh Kompas.com (@kompascom)














",TRAVEL
KONI Blitar Ancam Demo Bupati karena Tak Dapat Dana Pembinaan dan Penghargaan Atlet,"Selain itu, aksi demonstrasi itu juga untuk menuntut pembayaran reward bagi atlet berprestasi yang tak kunjung diberikan. 
KONI Blitar mengklaim, demo ini akan diikuti ribuan orang yang terdiri dari ratusan atlet dan keluarganya.
Ketua KONI Kabupaten Blitar, Tonny Andreas, mengatakan bahwa pihaknya telah memutuskan melakukan unjuk rasa sebagai cara menyampaikan kekecewaan para atlet yang tergabung dalam 44 cabang olahraga.
""Kami sudah ikuti prosedur administrasi sesuai SOP (standar operasional prosedur) yang ada.""
""Kami sudah tiga kali bersurat ke Ibu Bupati menanyakan janji dana pembinaan atlet dan reward bagi atlet berprestasi. Tapi sampai saat ini tidak ada jawaban,” ujar Tonny saat ditemui di ruang kerjanya, Senin (4/12/2023).
Surat terakhir tertanggal 8 November itu bahkan ditembuskan juga ke Gubernur Jawa Timur.
""Ini uang yang dijanjikan itu ke mana? Dikorupsi atau bagaimana?"" tambahnya.
Keputusan mendemo Rini Syarifah, ujar Tonny, menjadi bulat setelah pada Perubahan Anggaran Keuangan (PAK) dari APBD 2023 yang belum lama ini diputuskan ternyata masih tidak ada alokasi dana untuk pembinaan atlet.
Padahal, tambahnya, para atlet baru saja mengharumkan nama Kabupaten Blitar pada Pekan Olahraga Provinsi (Porprov) 2023 yang berlangsung September. Blitar menduduki peringkat ke-8  di antara 38 kabupaten dan kota yang ada di Jawa Timur.
""Kami dapat 27 emas, 23 perak dan 39 perunggu. Sepak takraw menyabet gelar juara umum. Kita peringkat ke-8 secara umum. Tapi kenapa malah seperti ini imbalannya. Kasihan para atlet dan orangtua mereka,” tuturnya.
Tonny mengatakan bahwa atas prestasi yang diraih para atlet selama Porprov VIII 2023 Jawa Timur itu seharusnya Bupati Blitar memberikan reward kepada mereka dengan total sebesar Rp 2,7 miliar.
Kata Tonny, Rini Syarifah pernah mengungkap harapannya agar Kabupaten Blitar setidaknya dapat meraih peringkat ke-10 pada kejuaraan Porprov VIII 2023 agar terjadi kenaikan prestasi dibandingkan peringkat ke-13 pada Porprov VII 2021 yang diselenggarakan pada 2022.
Kenyataannya, lanjut Tonny, prestasi atlet asal Kabupaten Blitar justru melebihi ekspektasi Bupati, yakni dengan meraih peringkat ke-8 selama Porprov VIII 2023.
""Sekarang para atlet berprestasi itu menunggu penghargaan yang dijanjikan Ibu Bupati. Dan beberapa atlet juga sempat dirawat karena cedera bahkan hingga saat ini masih ada yang membutuhkan biaya pengobatan,” keluhnya.














",REGIONAL
"8 Aturan di Umbul Sigedang Klaten, Ada Kolam Dewasa dan Anak","KOMPAS.com – Kompleks Umbul Sigedang-Kapilaler di Kabupaten Klaten, Jawa Tengah, bisa dikunjungi mereka yang ingin merasakan kesegaran pemandian alami.
Menariknya, wisatawan bisa menjajal dua umbul sekaligus dengan hanya membayar satu tiket masuk seharga Rp 10.000 per orang.
Sesuai namanya, dua umbul di sini adalah Umbul Sigedang dan Umbul Kapilaler. Letak keduanya cukup berdekatan.
Bagi wisatawan yang membawa anak, maka Umbul Sigedang lebih pas dikunjungi karena terdapat kolam anak.

Namun, ada beberapa aturan yang harus dipatuhi wisatawan di Umbul Sigedang, berkenaan dengan keselamatan dan kelestarian.
Berikut ini Kompas.com rangkum aturan berkunjung di Umbul Sigedang dengan kedalaman kolam dewasa terdalam 180 sentimeter (cm):
Dok. Umbul Sigedhang Umbul Sigedhang
Sebuah kiriman dibagikan oleh Kompas Travel (@kompas.travel)














",TRAVEL
"TNI AL Kembali Terima 2 Kapal KAL 28 Meter, Perkuat Alutsista Laut","Kedua kapal ini, “Sembulungan"" dan ""Hinako"", merupakan bagian integral dari pembangunan kekuatan TNI AL. Salah satunya perencanaan strategis yang siap menjaga keamanan dan melaksanakan penegakkan hukum di laut.
“Nama Sembulungan diambil dari nama Pantai yang ada di Banyuwangi dan Nama Hinako merupakan salah satu pulau yang ada di Nias,” kata Kepala Staf Angkatan Laut (Kasal) Laksamana TNI Muhammad Ali, di galangan kapal Citra, Senin (4/12/2023).
Ali menjelaskan, kedua kapal ini memiliki panjang 28,98 meter dan lebar 6,20 meter draught 1,40 meter, kecepatan maksimum 28 Knots, kecepatan jelajah 18 Knots, kecepatan ekonomis 13,5 Knots, dan endurance 3-4 Hari.
Selain itu, memiliki kemampuan membawa 15 personel dan menggunaka mesin pokok dua unit MAN V12-1900 Marine Engine Diesel dan diesel generator 2x Perkins 6 KVA.
“Kapal ini akan ditempatkan untuk memperkuat Lanal Banyuwangi Lantanal V Surabaya, dan Lanal Nias Lantamal II Padang,” ungkap Ali.
Dia menambahkan, KAL 28 meter ini memiliki beberapa keunggulan, di antaranya diperkuat dengan satu unit meriam 20 mm dan dua unit meriam 12,7 mm, mampu beroperasi di berbagai medan dan cuaca dengan kecepatan 28 Knots.
“Kelincahan yang dimiliki KAL 28 M ini mampu memenuh berbagai misi operasi baik infiltrasi, eksfiltrasi maupun misi SAR secara sangat baik,” jelas Ali.
Pembangunan KAL dilatarbelakangi luasnya wilayah perairan Indonesia, sehigga perlu diperkuat dengan unsur KRI di jajaran TNI AL.
“Saat ini TNI AL juga sudah memiliki kapal jenis Angkut Tank, Bantu Rumah Sakit, dan Harbour Tug, sehingga dibutuhkan adanya kapal Patroli cepat seperti KAL 2 M ini,” pungkas Ali.
Artikel ini merupakan bagian dari Lestari KG Media, sebuah inisiatif untuk akselerasi Tujuan Pembangunan Berkelanjutan.













",LESTARI
"Debut Akting di Bestie 2, Patricia Grouw Kesulitan Menghafal Skenario"," JAKARTA, KOMPAS.com- Presenter Patricia Gunawan atau Patricia Gouw mulai melebarkan sayapnya ke dunia seni peran.
 Patricia debut akting lewat drama series Bestie 2, memerankan karakter Cathy. 
 Patricia mengaku akhirnya mau terjun di dunia seni peran karena ingin belajar hal baru di dunia yang belum pernah dijajalnya.
 ""Sejujurnya karena kan aku maksudnya content creator udah, presenter sudah, MC sudah, modelling sudah. Jadi aku pengin coba sesuatu yang baru dan dikasih kesempatan yang baru untuk join Bestie 2,"" ujar Patricia di jumpa pers Bestie 2 di daerah Gunawarman, Jakarta Selatan, Senin (4/12/2023).
 Patricia tak menampik bahwa ia masih kesulitan menghafal skrip atau skenario. Namun, hal itu terbantu karena ia dibolehkan untuk improvisasi dialog.
 ""Iya gue susah banget hafal makanya tadi aku bilang boleh improvisasi enggak? Intinya apa ya gue improv gitu. Jadi kan pengambilan kiri ke kanan,"" ucap Patricia.
 ""POV (Point of View) ke audio itu beda kan. Jadi badan tuh enggak boleh gerak terlalu banyak say karena continuity.  Akhirnya kaya duh deg-degan banget deh, nonton deh,"" lanjut Patricia.
 Selain bisa improvisasi, wanita berusia 33 tahun ini juga terbantu karena para cast-nya sangat friendly dan mau membantunya.
 Bahkan, Della Dartyan, pemeran karakter Vina di Bestie 2 ini mengajarinya cara membaca skrip.
 ""Aku tuh pertama kali kayak baca skrip gitu kan, aku enggak ngerti itu. Della khususnya, dua hari sebelum (syuting) ke rumah aku, seharian sampai malam kayak 5 jam itu kayak ngajarin aku baca skrip itu menyelami itu seperti apa,"" ujar Patricia.














",HYPE
